time,x11,x12,x13,x21,x22,x23,x31,x32,x33
13/11/26 11:00,0.656604262889,0.000836420143676,0.342559316967,0.00701015661149,0.934654779304,0.0583350640843,0.00565421200863,0.135803644295,0.858542143697
13/11/26 11:10,0.656284087681,0.000851310389447,0.342864601929,0.00699132812835,0.934672445674,0.058336226198,0.00570063593029,0.135720956134,0.858578407936
13/11/26 11:20,0.656065676334,0.00084877657644,0.343085547089,0.00699406814929,0.934713834804,0.0582920970464,0.00572804840194,0.135424221452,0.858847730146
13/11/26 13:00,0.655856689433,0.000856214551917,0.343287096015,0.00699317497257,0.934778871765,0.0582279532621,0.00575047626613,0.135201054241,0.859048469492
13/11/26 13:10,0.655636397667,0.000852085322765,0.34351151701,0.00699632917764,0.934816768393,0.0581869024293,0.0057790005527,0.134890198233,0.859330801214
13/11/26 13:20,0.655455615786,0.000863103808323,0.343681280406,0.00699298512263,0.934891589004,0.0581154258729,0.00579638483525,0.134730783582,0.859472831582
13/11/26 13:30,0.65535265746,0.000854788739973,0.3437925538,0.00699444356501,0.934923131208,0.0580824252268,0.00581074038367,0.134544543572,0.859644716044
13/11/26 13:40,0.655144275056,0.00084982635946,0.344005898585,0.00699825477399,0.934953181203,0.0580485640227,0.00583872241581,0.134237696921,0.859923580663
13/11/26 13:50,0.654957897796,0.000842451950371,0.344199650254,0.00700178245772,0.934971287166,0.0580269303767,0.00586602987037,0.133947512462,0.860186457668
13/11/26 14:00,0.654999396603,0.000841987714019,0.344158615683,0.00699846211255,0.93500183213,0.0579997057578,0.00586094007807,0.133972742043,0.860166317879
13/11/26 14:10,0.654800334963,0.000836648990795,0.344363016046,0.00700221506237,0.935032060957,0.0579657239809,0.00588775816457,0.133674133974,0.860438107862
13/11/26 14:20,0.654619448694,0.000829365281284,0.344551186025,0.00700587833979,0.935050562733,0.057943558927,0.00591429675941,0.133389281376,0.860696421865
13/11/26 14:30,0.654386915416,0.000829408718707,0.344783675865,0.00700837576047,0.935088411658,0.0579032125818,0.0059443550145,0.133086906071,0.860968738915
13/11/26 14:40,0.654054231697,0.000832796313839,0.345112971989,0.00699216550876,0.935065487622,0.0579423468697,0.00599951129933,0.132925891889,0.861074596812
13/11/26 14:50,0.65381975459,0.000832369432526,0.345347875977,0.00699480587075,0.935102465916,0.057902728213,0.00603008005484,0.132618266146,0.861351653799
13/11/27 09:30,0.653893291812,0.000834001503889,0.345272706684,0.00698997565157,0.935137064374,0.0578729599747,0.00601981687802,0.132698740319,0.861281442803
13/11/27 09:40,0.653664953098,0.000833152762635,0.34550189414,0.00699360365863,0.935183852438,0.0578225439031,0.00604761627132,0.132389289129,0.861563094599
13/11/27 09:50,0.654590215508,0.000795645000674,0.344614139491,0.00696273004868,0.934959714907,0.0580775550439,0.00597630420112,0.13333622569,0.860687470109
13/11/27 10:00,0.654370733947,0.000800671819124,0.344828594234,0.00696448883547,0.935129421648,0.0579060895164,0.00598119883928,0.133151460121,0.86086734104
13/11/27 10:10,0.654469034941,0.000802581072179,0.344728383987,0.00696234042306,0.935173580556,0.0578640790212,0.00596484175681,0.13324467354,0.860790484704
13/11/27 10:20,0.654364235294,0.000806291737556,0.344829472969,0.00696567433348,0.935282940691,0.0577513849756,0.00596440664674,0.13315817424,0.860877419113
13/11/27 10:30,0.654363908823,0.000801684752682,0.344834406424,0.00696518876772,0.935332493084,0.0577023181484,0.00596183458738,0.13314235296,0.860895812452
13/11/27 10:40,0.654285332935,0.000795238297929,0.344919428767,0.00696570854634,0.935365326596,0.0576689648578,0.00597242529252,0.133021597947,0.861005976761
13/11/27 10:50,0.654117900984,0.000789926900968,0.345092172115,0.00696757081509,0.93539184261,0.0576405865749,0.00599570453814,0.132791553627,0.861212741835
13/11/27 11:00,0.653931178754,0.000798309933121,0.345270511313,0.00696525773218,0.935458746275,0.0575759959928,0.0060148554031,0.132617259161,0.861367885436
13/11/27 11:10,0.653742736657,0.000791710513833,0.345465552829,0.00696798382384,0.935489223397,0.0575427927791,0.00604074955604,0.132342726172,0.861616524272
13/11/27 11:20,0.657070166028,0.000968314264347,0.341961519708,0.00732487410452,0.934455990933,0.058219134962,0.00538294772553,0.135780974101,0.858836078173
13/11/27 13:00,0.656218553189,0.00104130156096,0.34274014525,0.00707826660175,0.93414334866,0.0587783847385,0.00551178740494,0.136790449139,0.857697763457
13/11/27 13:10,0.656370840877,0.00118749894068,0.342441660183,0.00695324987294,0.933775368607,0.0592713815205,0.0055379349971,0.138027611249,0.856434453753
13/11/27 13:20,0.656514560426,0.00124149040834,0.342243949166,0.00693075114962,0.933688168962,0.0593810798884,0.00553103368581,0.138373770976,0.856095195338
13/11/27 13:30,0.65735413965,0.00131355533721,0.341332305013,0.00688984657131,0.933486279408,0.0596238740211,0.00549816145543,0.139181153699,0.855320684846
13/11/27 13:40,0.657870550325,0.00133928431504,0.34079016536,0.00686687204964,0.933385030376,0.0597480975741,0.00547493885666,0.13966007981,0.854864981333
13/11/27 13:50,0.65814812198,0.00134803973134,0.340503838288,0.00685602785183,0.933371286753,0.0597726853951,0.00545471730245,0.139923648135,0.854621634563
13/11/27 14:00,0.658234146902,0.00136407182489,0.340401781274,0.00684500811883,0.933345033273,0.0598099586078,0.00546229657456,0.140003514373,0.854534189053
13/11/27 14:10,0.658289854373,0.00136134080711,0.34034880482,0.00683922637588,0.933335566373,0.0598252072516,0.00546633591554,0.140023909796,0.854509754289
13/11/27 14:20,0.658093887581,0.00136006596966,0.340546046449,0.00681888951767,0.933292098914,0.059889011568,0.00550893729242,0.140033567198,0.854457495509
13/11/27 14:30,0.657880235367,0.00136380748251,0.34075595715,0.00681980336611,0.933314078205,0.0598661184287,0.00553795688462,0.139759460377,0.854702582738
13/11/27 14:40,0.657697429897,0.0013834980295,0.340919072073,0.00681623372962,0.933384089641,0.0597996766291,0.00555589881155,0.139598685575,0.854845415614
13/11/27 14:50,0.657477521048,0.00139782429739,0.341124654654,0.00681598093404,0.933449454455,0.0597345646107,0.00557861369469,0.139355462335,0.85506592397
13/11/28 09:30,0.657334018152,0.00138831935955,0.341277662489,0.00681807867616,0.933476656063,0.0597052652604,0.00559770984124,0.13912625519,0.855276034968
13/11/28 09:40,0.657958043937,0.00135242310856,0.340689532954,0.00680235190803,0.933435442198,0.0597622058943,0.00553728372822,0.139733141224,0.854729575048
13/11/28 09:50,0.657962036438,0.00138107979149,0.34065688377,0.00677464190491,0.933249340977,0.0599760171179,0.00557024765954,0.140007665296,0.854422087044
13/11/28 10:00,0.657927386206,0.00136713995671,0.340705473837,0.00677788955546,0.933418731942,0.0598033785029,0.00555220734688,0.140016062008,0.854431730645
13/11/28 10:10,0.657979816006,0.00136334732894,0.340656836665,0.00679829575907,0.933558690915,0.0596430133259,0.0055243024091,0.139825305639,0.854650391952
13/11/28 10:20,0.657733241927,0.00137948465567,0.340887273417,0.00677839828376,0.933592159645,0.0596294420713,0.00555881357271,0.139873388046,0.854567798381
13/11/28 10:30,0.657756246941,0.00140067868967,0.340843074369,0.00679130151631,0.933713094187,0.0594956042968,0.00553908050127,0.139690028749,0.854770890749
13/11/28 10:40,0.657759732075,0.00138895520828,0.340851312717,0.00678882606555,0.933766130955,0.0594450429796,0.00553632092845,0.139683657209,0.854780021862
13/11/28 10:50,0.657626275819,0.00138360594883,0.340990118232,0.00678973913688,0.933807510109,0.0594027507543,0.0055514079424,0.139509656947,0.854938935111
